category_name,description
Квартиры,"Продам 2 комн квартиру в строящемся доме ЖК Полтавский, дом 2. Планировка: комнаты - 10,27 и 15,56 кв.м., кухня -8,5 кв.м с выходом на застекленный балкон. Этаж- есть выбор из 25. Большая прихожая-коридор с метом для гардеробной. Санузел совмещенный. Отделка черновая: стяжка на полу, стены подготовлены под оклейку обоями, потолок выровнен. Отличная возможность выполнить ремонт на свой вкус. Готовая инфраструктура: магазины, супермаркеты,ТЦ Полтавский и школа через дорогу. Транспортная доступность- остановка автобусов 98, 95 возле дома. Помогу оформить ипотеку бесплатно. Рассматриваем любой вид расчета. "
Телефоны,"Айфон 5s на 16 гб ,телефон в хорошем состоянии! Спереди и сзади установлено защитное стекло! От id отвязан. Находился постоянно в чехлах!"
"Одежда, обувь, аксессуары","Продаю дубленку мех искуственный,верх пропитка. Б/у меньше сезона в отличном состоянии. Цена 3000т.р."
"Одежда, обувь, аксессуары","Батильоны Zenden,  натуральная кожа. 36 размер. Одеты один раз, состояние новые. Не подошёл размер."
Бытовая техника,Б/У в хорошем состоянии
Детская одежда и обувь,"Продаю новые брюки фирма "" Futurino"", размер 98-104."
Мебель и интерьер,"Кухонный гарнитур с фасадом из натурального дубового шпона. В гарнитур входят столешница и раковина,а также ""козырек"" с подсветкой./
Размер: 1,56х1,76/
--/
Торг уместен"
Автомобили,"Продам Passat CC в идеальном состоянии. Приобретался в апреле 2013 года, в Медведь-Красноярск, с момента покупки и по сегодняшний день обслуживался там же, вся сервисная история у дилера. Установлен хороший охранный комплекс с GSM модулем. Кузов авто покрыт Нанокерамическим составом (блестит ярче нового авто). /
По технической части и внешнему виду все в идеале!/
Проверки приветствуются!/
Торг минимальный!"
Квартиры,"Продам 2х комнатную квартиру.53,2кв общая площая. Чистая продажа. Документы на руках.ОКНА , БАЛКОН ПВХ. Сан.узел кафель Камин встроенный на дровах.ЕВРОРЕМОНТ.В АРЕНДЕ НЕ БЫЛА. Заходи и живи. Дом теплый кирпичный. п. Березовка ул. Юности. Окна выходят во двор, удобно парковаться. Двор закрытый.Вся инфраструктура в шаговой доступности. .п.Березовка. Я собственник. ХОРОШИЙ ТОРГ."
"Одежда, обувь, аксессуары","Состав: 90% - пух, 10% - перо,темно-синий цвет,размер 44,в хорошем состоянии. Возможен торг"
Квартиры,"Сниму не дорогую квартиру в Ленинградском р-не./
Плата договорная."
Детская одежда и обувь,"Платье белое с шитьем новое (2шт)-трикотаж, платье цветное С ремешком х/б новое."
"Одежда, обувь, аксессуары","Фигурка ""Жених и невеста"" для свадебного торта. Состояние: отличное."
Квартиры,"мебель,холодильник,стиралка автомат,сплит"
Предложение услуг,Сертифицированный мастер.  Глубокое бикини 450 руб.  Подмышки 200 рублей.  Ножки полностью 700
Мебель и интерьер,"Черно-серебристые фонтанчики. Есть 3 штуки размера 3х2,5м и 1 штука 3х3м. Цена указана за штуку."
Детская одежда и обувь,"Новое платье, фирмы ACOOLA (с бирочками)/
Цвет яркий очень красивый, юбка платья очень пышная (+ двойной и объемный подъюбник)/
рост 98"
Товары для детей и игрушки,"Состояние хорошая, имеется накидка от дождя"
"Одежда, обувь, аксессуары",Женские ботинки. Не подошли по размеру.
Автомобили,"Продаётся Део Матиз 2008 года. Двигатель 0,8 л. Кондиционер, резина зима-лето на литых дисках."
Автомобили,"Автомобиль приобретался у официального дилера BMW. История обслуживания. Пробег подтвержден. Прошел диагностику технического состояния. Не подвергался кузовному ремонту./
 /
Автоматическая коробка передач/
 /
Многофункциональное рулевое колесо с отделкой кожей/
 /
Л/c диск BMW дизайн 204/
 /
Система сигнализации/
 /
Наружное доп. оборудование в цвет кузова/
 /
Ножные коврики Velours/
 /
Знак аварийной остановки и аптечка/
 /
Комплект для курящих/
 /
Эл.регулировки положения сиденья с функцией памяти/
 /
Подлокотник передний/
 /
Подогрев передних сидений/
 /
Декоративные планки - шлифованный алюминий/
 /
Система омывателей фар/
 /
Парктроники/
 /
Фары противотуманные/
 /
Ксеноновые фары/
 /
Климат-контроль/
 /
Бортовой компьютер/
 /
Радиоприемник BMW Business CD/
 /
Фонари указателей поворота белые/
 /
Исполнение для стран с холодным климатом/
 /
 "
Детская одежда и обувь,"Продам толстовку двухстороннюю, флис. Размер 62-68см. В отличном состоянии. Смотреть на Металлургов 53. Звоните!!! На смс не отвечаю."
"Одежда, обувь, аксессуары","Юбка в идеальном состоянии. Летняя, с оборочками) очень классно смотрится, хорошо сидит на любой фигуре. Размер 8 (S). Состав: 100% полиэстер."
"Одежда, обувь, аксессуары",новое трикотажное платье размер 46
Телефоны,"Продаю новый тел lenovo К10А40 документы все порядке тел на гарантии ,установлено защитное стекло,,,объем батареи 3500.все вопросы по телефону.без торга"
Товары для детей и игрушки,"Гимнастический центр для малыша.имеет несколько положений.от 0 до 1.5 лет.очень удобно,надолго увлекает ребенка,а мама может спокойно заниматься своими делами.со световыми и звуковыми эффектами"
"Одежда, обувь, аксессуары","Подарочная карта Massimo Dutti , номинал 5000руб"
Автомобили,"продам НИВУ ШЕВРОЛЕ 2012 ГОДА ВЫПУСКА В ОТЛИЧНОМ СОСТОЯНИИ КОМПЛЕКТАЦИЯ ЛЮКС С КОНДИЦИОНЕРОМ,АВТОМОБИЛЬ ПОЛНОСТЬЮ В ИСПРАВНОМ СОСТОЯНИИ ВЛОЖЕНИЙ НЕ ТРЕБУЕТ ТОРГ ПРИ ОСМОТРЕ НЕБОЛЬШОЙ"
Детская одежда и обувь,"Легкие наши любимые сандали известной марки. Носили часто, есть коцки( на фото видно), поэтому и цена. Но их ещё носить и носить..."
Детская одежда и обувь,"Куртка и штаны /
Размер - 86/
Отходили 2 осени и 1 весну , состояние хорошее , ходили бы и дальше , но штаны уже короткие"
"Одежда, обувь, аксессуары","продам демисезонную куртку состояние хорошее,мне стала мала"
"Одежда, обувь, аксессуары","платье итальянское,куплено в Лондоне,поэтому оно эксклюзивное./
Длина платья  на 2/3 голени,что очень удобно при танце и очень модно.Размер платья варьируется от 44 до 48 за счет шнуровки.Платье очень нежное и в то же время яркое,запоминающееся."
Товары для детей и игрушки,"Смесь Similac premium 2, вскрытая банка 900г, не полная, ребенку не подошла"
Товары для детей и игрушки,продам набор резиночек. новые в упаковке. цена 350 р. торг
Квартиры,"2-квартира по адресу: Садовая 3а/
Улучшенная планировка:общая 60кв. м. / жилая 40кв. м. / кухня 12 кв.м./
Квартира в отличном состоянии: Сделан хороший качественный ремонт, пластиковые окна, встр кухня, установлены современные межкомнатные двери. Санузел в кафеле./
Условия продажи: чистая продажа./
Остановка: завод энергомаш."
Детская одежда и обувь,Одели пару раз
Автомобили,"Продам авто/
Требует внимание по кузову /
Салон ухожен /
Резина почти новая /
Все остальное по телефону /
Перекупам просьба не беспокоить  /
Торг у капота!"
"Одежда, обувь, аксессуары","Пальто из кашемира , новое./
К нему идёт пояс и брошь , которая снимается ./
Покупала в Украине, дороже, качество супер !/
Звоните, пишите)"
Товары для детей и игрушки,Куклы Монстер хай в отличном состоянии.цена от 800-1000.
"Одежда, обувь, аксессуары","Болоневые утепленные брюки фирмы Адель на весну. Размер 52-54, на рост 165-175. Зимой носила на последних месяцах беременности с теплыми лосинами. 600 руб. /
Смотреть в районе центрального рынка."
"Одежда, обувь, аксессуары","Ликвидация магазина. Распродаём оставшийся товар. Цена закупочная. Рисунки разные./
Размер универсальный./
Яркие цвета."
"Одежда, обувь, аксессуары","Продам в отличном состоянии не носил почти,не скатанный и не растянут)"
"Одежда, обувь, аксессуары","Осень-весна на синтепоне, в отличном состоянии."
"Одежда, обувь, аксессуары","Продам классические туфли (комбинированная коричневая кожа), удобная колодка и каблук. Размер 37,5. Б/у 2 раза. Причина - размер не подошел"
Детская одежда и обувь,"Демисезонные ботиночки кожаные ,носили мало"
Товары для детей и игрушки,"Почти новая коляска для кукол. Вместительная, многофункциональная."
Автомобили,Авто в хорошем состоянии. Эл. стеклоподъемники все. Регулировка и складывание зеркал. CD Магнитола с радио Pioner.Сигнализация. Центральный замок. Установлен запуск авто по времени. Чехлы Mazda. Кожаная оплетка руля. Сделана шумоизоляция кузова.Перетяжка пластика багажника Карпетом. Два комплекта колес на литых дисках. И много чего поменяно. Осмотр.С продажей не тороплюсь.
Детская одежда и обувь,"Продам молочные туфли б/у на девочку, 36 размер, фирмы CARLO PIGNATELLI junior."
Детская одежда и обувь,"Возможно доставка Центр,Дема,Сипайлово,МВД/
Размер 16 см по стельке"
"Одежда, обувь, аксессуары",Сапожки весна-осень. Торг.
"Одежда, обувь, аксессуары","Белая ,хлопок.На размер от44-48.носила до родов.клуб мамси"
Товары для детей и игрушки,Стульчик для кормления для удобства вашего малыша.
"Одежда, обувь, аксессуары","одевались один раз/
состояние идеальное/
чёрный цвет , изначально было сделаны три дырки /
размер 34/
цвет черный"
"Одежда, обувь, аксессуары",Покупала за 4000 тысячи отдам за 2500 так как не подошли по размеру )
"Одежда, обувь, аксессуары","Блузка новая ,с тоненьким ремешком . Очень комфортная ткань ."
Квартиры,"Сдаётся частично мебелированная однокомнатная квартира в мкр тюменский-2. Хороший ремонт, удачное расположение: большое количество супермаркетов в пешей доступности, школа, фитнес центры, кинотеатры. Адекватные соседи, лифт, парковка около дома. Интернет, телевидение. Звонить с 08:00 до 24:00/
10000 без торга + ЖКХ"
Детская одежда и обувь,"Модная куртка на мальчика 4-6 лет, на тёплую весну, качество высокое, стирается легко в стиральной машине."
Детская одежда и обувь,"Ботиночки весна -осень, в отличном состоянии, 23 размер"
Детская одежда и обувь,"Весенние туфли для мальчика. В очень хорошем состоянии. Внутри - натуральная кожа, снаружи - кожзам. Без дефектов. Стелька не вынимается, длина подошвы снаружи - 23 см.  Любой район."
Автомобили,Продам
Детская одежда и обувь,110 рзамер
Товары для детей и игрушки,"Новый сортер фирмы Тапперве. Развивает мелкую моторику, пространственное мышление. Помогает научить ребенка различать цвета и фигуры, узнать цифры."
Товары для детей и игрушки,"Продам коляску Adamex Mustang в хорошем состоянии. В наличии два блока (летний и зимний), два дождевика на каждый блок, москитная сетка, сумка для мамы. Все чехлы съёмные, все можно постирать. Надувные колеса. Летний блок имеет 4 положения."
"Одежда, обувь, аксессуары","Плащ кожаный, длинный, размер 44-46. Не дорого (необходима замена замка)."
"Одежда, обувь, аксессуары",Новый джинсы с сайта Asos 38/40 не подошли по размеру
"Одежда, обувь, аксессуары",курточка на синтипоне весна-осень состояние новой.
Квартиры,"Сдается однокомнатная квартира лен.проекта, частично меблированная. Есть все необходимое для проживания (стиральная машина, холодильник, пылесос, ТВ). Оплата 15000 руб.  + свет и вода по счетчикам."
"Одежда, обувь, аксессуары","х\б, прямые, серого цвета, в хорошем состоянии"
Квартиры,Квартира с ремонтом без мебели.
Телефоны,"Продаю новую заднюю часть(крышка стеклянная белого цвета,оригинал)телефона ZUK Z2."
Детская одежда и обувь,"Сапожки нат. замша, р-р 27, по стельке 17-17,5 см"
Детская одежда и обувь,Новый турецкий костюм.
Ремонт и строительство,Плитка на заказ для декорирования стен и дверных проемов
"Одежда, обувь, аксессуары",Гипюровая блузка в хорошем состояние цвет синяя с темными пропалинами.
"Одежда, обувь, аксессуары","Освобождаю место, цена без торга, надевались несколько раз"
Бытовая техника,"Кофемашина в хорошем состоянии, почти не использовалась, на корпусе небольшая не глубокая потертость (на фото видно). Продаю за ненадобностью. Обмен не интересует."
Товары для детей и игрушки,"Коляска-трансформер, очень хорошее основание раскладывается  в 3 положения,Ручка перекидывается,"
Мебель и интерьер,почти новый
Автомобили,Машина в хорошем состоянии не битая не крашенная полный комплект опций Торг уместен.
"Одежда, обувь, аксессуары","Туфли женские, размер 37, материал нубук, лакированные, новые."
Детская одежда и обувь,"Продаю куртку и брюки, зима, р-р куртки 110 (+6) см, р-р брюк 104 (+6) см. Состояние хорошее, куртку одевал не часто."
Квартиры,"Сдам 1-ком. квартиру , ул. Калинина, с мебелью с техникой 9000р. /
Можно парням контрактникам."
Квартиры,"Продам двухкомнатную квартиру в отличном состоянии, ремонт, навесные потолки, ламинат, пластиковые окна. Квартира очень теплая, комнаты изолированные, соседи прекрасные. Оставляем кухонный гарнитур со встроенной газовой плитой и вытяжкой."
Квартиры,"Продаю  уютную,светлую,очень теплую квартиру,в нормальном состоянии,дом находится в нутри микррорайона,очень хорошее,тихое место,рядом с домом остановка ,школа,садик,рынок'Валентина',есть евроокна,хороший з/балкон,новый кафель в с/узле,поменяны трубы,счетчики на газ и воду,тамбур на две квартиры с м/дверью,замечательные соседи,в подъезде ремонт,реальному покупателю стиральная машинка автомат в подарок,звоните в любое удобное для Вас время для консультаций,помощь в оформлении бесплатно."
Телефоны,"в идеальном состоянии,полный комплект!телефон оригинальный,любые проверки.возможен торг."
Товары для детей и игрушки,"НОВАЯ В УПАКОВКЕ!/
Банни Бланк из мультфильма ""Ever After High"" - очень необычный персонаж, ведь она дочь того самого Белого Кролика из сказки ""Алиса в Стране Чудес"". У Банни скрытный характер, она очень застенчивая, но, при этом, активно участвует в школьной жизни. Например, она является членом шахматного клуба. Банни никогда не опаздывает на встречи!/
Характеристики:/
Рекомендуемый возраст – 4-5 лет, 6-8 лет, 9-12 лет/
Пол: для девочек/
Бренд : Ever After High/
Артикул : CDH57/
Размер упаковки: 0.255 х 0.065 х 0.325 м/
Вес : 0.391 кг"
Бытовая техника,"Всё работает. Хороший утюг. Немного испорчен провод, но на работу не влияет"
Детская одежда и обувь,"мембрана 3000/3000, TEFLON, подкладка Флис, Утеплитель: Hollofan PRO 100 г/м2/
Верхняя ткань с мембраной 3000/3000 обеспечивает водонепроницаемость, при этом одежда дышит. Покрытие TEFLON повышает износостойкость, а так же облегчает уход за комбинезоном. Утеплитель плотностью 100 г/м2 позволяет носить комбинезон при температуре от +10 С до -5 С. Флисовая подкладка в области грудки и спинки, а так же внутри капюшона и на воротнике-стойке обеспечивает дополнительное тепло и комфорт, а также работу мембраны по отведению лишней влаги (пота). Капюшон съемный с декоративными ушками. Комбинезон идеально сядет по фигуре благодаря вшитой резинке по талии и внутренней регулируемой утяжке, а так же резинкам на манжетах и по низу брючин. Съемные силиконовые штрипки надежно удержат брючины на месте. Карманы на молниях. Комбинезон оснащен светоотражающими элементами."
Детская одежда и обувь,"В хорошем состоянии, по стельке 13см"
Детская одежда и обувь,"Жилет на пуху, новый /
Привезен из Китая, фабричный, качественный/
/
размер 130"
Автомобили,"Продам ниву в отличном состоянии, музыка, сигнализация, салон проклеен, установлено гбо 4 поколения. Вложений никаких не требует. По всем вопросам отвечу по телефону."
Автомобили,"Комплектация ""Престиж"". По ПТС 2014 года, машина не битая, подкрашен часть капота и крыла из-за царапины. Все внутренности в оригинале . Дополнительно сделаны : тонировка, шумоизоляция и усилена музыка. Вложений не требует."
"Одежда, обувь, аксессуары","Оригинальные итальянские туфли из шелка, украшены стразами. В отличном состоянии."
Мебель и интерьер,"— Материал корпуса: ЛДСП/
— Материал дверей: алюминиевый профиль, ЛДСП, зеркала, фотопечать, цветное стекло, пескоструйный рисунок на стекле./
— Выезд на замеры, дизайн, установка - бесплатно./
— Цена за погонный метр от 8 тыс. руб."
Квартиры,"Замечательная студия 26,09 кв.м в районе ул. Героя Яцкова (ККБ) в Прикубанском округе г. Краснодара./
 /
№ объекта: 19254/
 /
ЦЕНА НИЖЕ ЗАСТРОЙЩИКА!/
 /
Отличная студия 26,09 кв.м в новом монолитно-кирпичном доме с современной планировкой. В квартире выполнена качественная предчистовая отделка (стены - гипсовая штукатурка, полы - стяжка), что позволит Вам по своему вкусу выполнить финишную отделку квартиры с минимальными вложениями. Установлены металлическая дверь, металлопластиковые окна с двухкамерным стеклопакетом. Чистый подъезд, пассажирский и грузовой лифты, домофон, благоустроенная придомовая территория, подземная парковка для автомобиля./
 /
Вся необходимая социальная инфраструктура: детские площадки, спортивные комплексы (стадион с беговой дорожкой, крытый тренажерный зал с рингом, многофункциональная спортивная площадка для игр волейбол, баскетбол, футбол и настольный теннис) подземная и наземная парковка, беседка для семейного отдыха с зоной барбекю. Отдельные помещения выделены под почту и опорный пункт полиции. На территории микрорайона построен детский сад на 150 мест. Благоустроенные озелененные территории и аллеи, детские площадки и площадки для отдыха. В районе есть школы, супермаркеты «Магнит» и «Пятёрочка», фруктово-овощная лавка, библиотека, городская поликлиника № 13, детская поликлиника №2, спорткомплекс «Екатиринодар», медицинская клиника «Екатерининская»/
 /
Вся транспортная инфраструктура в шаговой доступности: остановки общественного транспорта (троллейбусы, автобусы, маршрутные такси)./
 /
Строительство по 214 ФЗ. Сдача - октябрь 2017 года./
 /
Звоните прямо сейчас и получите подробную информацию по квартире! /
 /
Рядом улицы: 1 Мая, Восточно-Кругликовская, Героев-Разведчиков, Черкасская, Героя Яцкова."
Детская одежда и обувь,"Толстовка производство Китай фирма Adidas, серии монстры. В отличном состоянии. Длина толстовки по спине 42 см."
"Одежда, обувь, аксессуары","Кожаный пиджак, состояние новое! Отправка в любой город! Размер 52-54"
Ремонт и строительство,кислородный редуктор БКО-50-12.5 НОВЫЙ
Товары для детей и игрушки,"Тетради : от 50 -80 руб /
Карандаши -50 руб ""комплект """
"Одежда, обувь, аксессуары",продам полусапожки женские 38 размер одевала один раз .высота коблука 7см.Татьяна
Детская одежда и обувь,Продам ботинки натуральная замша. В очень хорошем состоянии
Телефоны,"Состояние 4 , набор наушники , зарядное устройство! Все рабочее ,цвет белый!"
Детская одежда и обувь,Состояние отличное
Квартиры,Куплю 2-3 комнатную квартиру на 2 или 4 этаже в районе 8 школы
Товары для детей и игрушки,"Утилизатор подгузников Sangenic герметично заворачивает каждый использованный подгузник в антибактериальную пленку, избавляя от неприятного запаха и микробов. По мнению экспертов, утилизатор Sangenic намного эффективнее справляется с микробами и неприятным запахом, чем обычные мешки для подгузников."
Детская одежда и обувь,Сапоги зимние. Дутые. Приобретались в этом сезоне
Детская одежда и обувь,"Липы в порядке, натуральная кожа, стелька ортопедическая"
Товары для детей и игрушки,"Детская вешалка для одежды ""на завтра"" - прекрасное решение , чтобы одежда не весела на стуле))) Приучает ребенка к порядку. Изготовлена из натурального дерева!"
Детская одежда и обувь,"Кофточка из велсофта, очень теплая, ростовка указана 134, но можно попробовать и на 128. В будни просьба звонить после 18.00."
"Одежда, обувь, аксессуары","Сумочки, в хорошем состоянии, очень стильные, покупались за границей. Леопардовая - иск.мех, остальные из кож.зама. Каждая по 200 руб. Все примерно одинакового размера 20-22*15 см"
"Одежда, обувь, аксессуары","Продам юбку, в идеальном состоянии, хорошо сидит по фигуре"
Детская одежда и обувь,Новый щтаны 74 а джемперок до 7 месяцев
"Одежда, обувь, аксессуары",Новые сапоги из Германии Caprice. Размер 41. Натуральная кожа. каблук 3 см
"Одежда, обувь, аксессуары",Любые за 200 руб Три пары по цене двух!!!
Детская одежда и обувь,"Демисезонный комбинезон размер 74-80, можно носить до 84 см. Теплый, штаны, рукава подгибаются, состояние хорошее. 300 руб. Территориально ТЦ КИТ, ТЦ ПАССАЖ."
Телефоны,"Полный комплект (коробка, зарядка, наушники)/
Покупала в Евросети (Ростест)/
Работает абсолютно все! Состояние практически идеальное"
"Одежда, обувь, аксессуары","маломерки,подойдут на 35 размер,экокожа"
Детская одежда и обувь,"пакет вещей на девочку 3-4 года.состояние хорошее.в пакет входят:куртки, шапки теплые и летние, юбочки, платья, колготки,штанишки,варежки.обувь 25 размер"
Телефоны,"Отличный и мощный аппарат с хорошей камерой.состояние идеальное.на переднем стекле бронька/
Камера 16мп,автофокус/
Фронтальная 5мп/
3g4g/
8-ми ядерный процессор/
4 ядра 2.1ghz + 4 ядра 1.5ghz/
3гб оперативной память /
Реальному покупателю Торг/
Обмена нет/
В комплекте только з/у"
"Одежда, обувь, аксессуары",Сумки в отличном состоянии. Цена на фото.
"Одежда, обувь, аксессуары",Б/у в очень хорошем состоянии. Без утеплителя. Не на полную ногу
Детская одежда и обувь,звоните договоримся.Мария.
Товары для детей и игрушки,"Продаю каталку - удобное средство передвижения для ребёнка в любое время года, можно кататься на улице и дома."
Телефоны,Ёмкость батареи 2500 mAh
Детская одежда и обувь,Зима -весна -осень .Не продуваемый. Размер 80. В хорошем состоянии.
Предложение услуг,"Изготовим , установим москитные сетки на окна ,на остекление балкона . Качественно , быстро , недорого!!! за один день!!!"
"Одежда, обувь, аксессуары","Абсолютно новая!!! Мягкая очень приятная к телу! Размер м, свободная от груди, трапецивидная."
"Одежда, обувь, аксессуары","Красное платье для миниатюрной девушки размер - 38-40, новое с этикеткой"
Детская одежда и обувь,"Продам новый ветровочный костюм для мальчика. Ветровка на флисе, штанишки на хлопковом трикотаже. В наличии размеры 92 и 98.  Расцветка на картинке, которая слева."
Квартиры,"Предлагаю комплекс  комфорт класса расположенных в центральном районе города-курорта Сочи по ул.Донской. Общая закрытая территория, охрана, видеонаблюдение, бассейн, 2 детские площадки. Вся необходимая инфраструктура: Школы, детские сады, магазины, поликлиника, остановка общественного транспорта. Центральные коммуникации: свет, вода, канализация. Отопление - индивидуальный газовый котел. РАЗРЕШЕНИЕ НА СТРОИТЕЛЬСТВО. СТАТУС КВАРТИРА."
Товары для детей и игрушки,"Состояние новой. Коробка, инструкция."
"Одежда, обувь, аксессуары",В хорошем состоянии .смотреть можно и на туркестанской .размер 42-44
Детская одежда и обувь,"продам пальто для девочки, хорошее состояние"
Телефоны,Удобный и красивый номер Билайн
"Одежда, обувь, аксессуары",Одевались один раз
Детская одежда и обувь,Забирать на ул. Родионова или на сормовском повороте.
Квартиры,"Квартира в посёлке северном остановка нижняя , школа и детский сад рядом с домом ,дом после кап. ремонта ,в квартире хороший ремонт и сделанная удобная  перепланировка ,а также рядом с домом сарай и погреб ,возможна продажа с мебелью"
Детская одежда и обувь,"В новом состоянии , на Ростовку до 100 см , длина чуть выше колено , подклад флис , цвет насыщенно оранжево красный , нахожусь в Пашино , но предварительно ( договорится ) можно будет посмотреть на золотой ниве ."
Детская одежда и обувь,В идеальном состоянии.
Бытовая техника,В хорошем состоянии
"Одежда, обувь, аксессуары","продам костюм,состояние отличное"
"Одежда, обувь, аксессуары","Первое  HOUSE размер М. Цена 500, второе платье фирмы KOTON размер L,  цена 700. Одеты по 2 раза, состояние идеальное."
Детская одежда и обувь,"Не успели поносить, нам малы оказались"
Квартиры,"Продается отличная квартира с ремонтом в районе Российской. Стены покрашены в приятные постельные тона, натяжные потолки, на полу ламинат, сан.узел в кафеле. В квартире остается шкаф, диван, остальное по договоренности, еще одним преимуществом квартиры является наличие гардеробной. В 5-ти минутах ходьбы находится школа №94, 2 садика и остановка, с возможностью уехать в любую часть города. По дороге с остановки можно зайти в магазин и купить что-нибудь вкусненького!!! Прекрасно подходит для молодой семьи с маленькими детьми"
"Одежда, обувь, аксессуары",Новые сабо.На узкую ножку. Размер 37 Звонить после 19.00
Телефоны,"Телефон в хорошем состоянии,все работает исправно,память 16гб.Телефон был всегда с двух сторон заклеен пленками и в чехле."
"Одежда, обувь, аксессуары","Футболка женская, рисунок ручной работы. Может быть любой по Вашему желанию. Размер XS. Под заказ можно любого размера. Краска не смывается, не облезает. Можно стирать и гладить."
Детская одежда и обувь,"Тканевые кеды Crazy8 с замшевыми вставками, на ножку до 14см, заказывали с Америки. Антискользящая подошва. Одели пару раз в коляске и переросли. Состояние новых 5/5!"
"Одежда, обувь, аксессуары","классические кроссовки новые мужские/
для повседневной носки/
идеально на весну/
размер 41 42/
кожа натуральная"
Автомобили,"Продам Лада Приора Универсал 2010 года, музыка, чехлы, фаркоп, комплект летеней резины в стоимость авто, цена 210000 рублей , один хозяин"
"Одежда, обувь, аксессуары",Б/у. Размер 48. Покупали за 10.000.
Мебель и интерьер,"Продам компьютерный стол. В хорошем состоянии, стол угловой."
Предложение услуг,все работы по электричеству
"Одежда, обувь, аксессуары","Состояние отличное. На такую погоду как сейчас. Мех натуральный, съемный. Штаны сзади стрейч. /
Подойдёт на 40-42-44."
Телефоны,"Sony-Ericsson C702 - дисплей/
 /
Sony-Ericsson C903 - дисплей/
 /
Sony-Ericsson G705/ W705/ W715 - дисплей/
 /
Sony-Ericsson LT18i Xperia arc S/ LT15i Xperia arc - дисплей в сборе с тачскрином/
 /
Sony-Ericsson MK16 Xperia pro - дисплей/
 /
Sony-Ericsson R800 Xperia Play - дисплей/
 /
Sony-Ericsson ST15i Xperia mini - дисплей/
 /
Sony-Ericsson U1 Satio - дисплей/
 /
Sony-Ericsson U100 Yari - дисплей/
 /
Sony-Ericsson U20/ X10 mini pro - дисплей/
 /
Sony-Ericsson W350 - дисплей/
 /
Sony-Ericsson W760 - дисплей/
 /
Sony-Ericsson W880 - дисплей/
 /
Sony-Ericsson W902 - дисплей в сборе с защитным стеклом/
 /
Sony-Ericsson W980 - дисплей внешний/
 /
Sony-Ericsson W995 - дисплей/
 /
Sony-Ericsson MK16 Xperia pro - тачскрин, сенсорное стекло/
 /
Sony-Ericsson R800 Xperia Play - тачскрин, сенсорное стекло/
 /
Sony-Ericsson W150 Yendo - тачскрин, сенсорное стекло/
 /
Sony-Ericsson X8 (E15i) Xperia - тачскрин, сенсорное стекло/
 /
Sony-Ericsson C903 - шлейф с SIM-коннектором/
 /
Sony-Ericsson C905 - шлейф с контактной площадкой клавиатуры/
 /
Sony-Ericsson C905 - шлейф со вспышкой/
 /
Sony-Ericsson F100 Jalou - шлейф межплатный/
 /
Sony-Ericsson F302/ F305/ W395 - шлейф межплатный, оригинал (Китай)/
 /
Sony-Ericsson J20 Hazel - шлейф межплатный, оригинал (Китай)/
 /
Sony-Ericsson LT15 Xperia arc - шлейф на динамик + вибро/
 /
Микрофоны Sony-Ericsson Z520/Z310/S500/W580/
 /
Разъем зарядки Sony-Ericsson Aspen M1/
 /
Разъем зарядки Sony-Ericsson CK15/CK13/W150/WT13/
 /
Разъем зарядки Sony-Ericsson LT15/MT11/MT15/ Sony ST27i/
 /
Разъем зарядки Sony-Ericsson U5 VIVAZ/U10/
 /
Разъем зарядки Sony-Ericsson X10/ X10 mini/
 /
Разъем под гарнитуру Sony-Ericsson LT15/ LT18/ U5/ X10/ ST15/
 /
Разъем под гарнитуру Sony-Ericsson X8/E15/
 /
Контролер питания Qualcomm PM7540 HTC/ LG/ Samsung/ Sony-Ericsson/
 /
Sony-Ericsson W890 - шлейф со звонком + коннектор камеры/
 /
Sony-Ericsson W902 - шлейф с SIM-коннектором/
 /
Sony-Ericsson X10 - шлейф на кнопки меню/
 /
Sony-Ericsson Z310 - шлейф межплатный + коннектор камеры, оригинал (Китай)/
 /
Контактная площадка клавиатуры Sony-Ericsson C510/
 /
Контактная площадка клавиатуры Sony-Ericsson K510/K310/K320/
 /
Контактная площадка клавиатуры Sony-Ericsson K530/
 /
Контактная площадка клавиатуры Sony-Ericsson K790/K800/
 /
Контактная площадка клавиатуры Sony-Ericsson K810/
 /
Контактная площадка клавиатуры Sony-Ericsson T700/
 /
Контактная площадка клавиатуры Sony-Ericsson W302/
 /
 Нас легко найти в вконт., гр. ТехноМикс/
 /
 "
